game_id,move_number,player,column,row,algorithm,depth,nodes_expanded,pruned_nodes,decision_time,board_state,timestamp
1,4,2,3,3,iterative,7,48860,39622,2.56145977973938,"[[0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 2, 0, 0, 0], [0, 0, 0, 1, 0, 0, 0], [0, 0, 0, 1, 2, 0, 0]]",2025-12-16T01:53:16.425934
1,5,1,4,4,iterative,7,32940,22691,2.3381638526916504,"[[0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 2, 0, 0, 0], [0, 0, 0, 1, 1, 0, 0], [0, 0, 0, 1, 2, 0, 0]]",2025-12-16T01:53:18.764139
1,6,2,3,2,iterative,7,28374,22579,1.9830639362335205,"[[0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 2, 0, 0, 0], [0, 0, 0, 2, 0, 0, 0], [0, 0, 0, 1, 1, 0, 0], [0, 0, 0, 1, 2, 0, 0]]",2025-12-16T01:53:20.747252
1,7,1,0,5,iterative,7,33212,21717,2.362215280532837,"[[0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 2, 0, 0, 0], [0, 0, 0, 2, 0, 0, 0], [0, 0, 0, 1, 1, 0, 0], [1, 0, 0, 1, 2, 0, 0]]",2025-12-16T01:53:23.109504
1,8,2,3,1,iterative,7,29708,20604,1.8577361106872559,"[[0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 2, 0, 0, 0], [0, 0, 0, 2, 0, 0, 0], [0, 0, 0, 2, 0, 0, 0], [0, 0, 0, 1, 1, 0, 0], [1, 0, 0, 1, 2, 0, 0]]",2025-12-16T01:53:24.967274
1,9,1,3,0,iterative,7,1,0,1.5974044799804688e-05,"[[0, 0, 0, 1, 0, 0, 0], [0, 0, 0, 2, 0, 0, 0], [0, 0, 0, 2, 0, 0, 0], [0, 0, 0, 2, 0, 0, 0], [0, 0, 0, 1, 1, 0, 0], [1, 0, 0, 1, 2, 0, 0]]",2025-12-16T01:53:24.967310
1,10,2,1,5,iterative,7,19916,16095,1.2748489379882812,"[[0, 0, 0, 1, 0, 0, 0], [0, 0, 0, 2, 0, 0, 0], [0, 0, 0, 2, 0, 0, 0], [0, 0, 0, 2, 0, 0, 0], [0, 0, 0, 1, 1, 0, 0], [1, 2, 0, 1, 2, 0, 0]]",2025-12-16T01:53:26.242181
1,11,1,4,3,iterative,7,21308,14048,1.3249452114105225,"[[0, 0, 0, 1, 0, 0, 0], [0, 0, 0, 2, 0, 0, 0], [0, 0, 0, 2, 0, 0, 0], [0, 0, 0, 2, 1, 0, 0], [0, 0, 0, 1, 1, 0, 0], [1, 2, 0, 1, 2, 0, 0]]",2025-12-16T01:53:27.567155
1,12,2,4,2,iterative,7,17206,12238,1.0447680950164795,"[[0, 0, 0, 1, 0, 0, 0], [0, 0, 0, 2, 0, 0, 0], [0, 0, 0, 2, 2, 0, 0], [0, 0, 0, 2, 1, 0, 0], [0, 0, 0, 1, 1, 0, 0], [1, 2, 0, 1, 2, 0, 0]]",2025-12-16T01:53:28.611960
1,13,1,1,4,iterative,7,14116,8720,1.0392658710479736,"[[0, 0, 0, 1, 0, 0, 0], [0, 0, 0, 2, 0, 0, 0], [0, 0, 0, 2, 2, 0, 0], [0, 0, 0, 2, 1, 0, 0], [0, 1, 0, 1, 1, 0, 0], [1, 2, 0, 1, 2, 0, 0]]",2025-12-16T01:53:29.651255
