game_id,move_number,player,column,row,algorithm,depth,nodes_expanded,pruned_nodes,decision_time,board_state,timestamp,player1_pieces,player2_pieces,empty_cells,total_pieces,center_control_p1,center_control_p2,col_0_height,col_1_height,col_2_height,col_3_height,col_4_height,col_5_height,col_6_height,row_0_density,row_1_density,row_2_density,row_3_density,row_4_density,row_5_density,nodes_expanded_normalized,pruned_nodes_normalized,decision_time_normalized,player1_pieces_normalized,player2_pieces_normalized,empty_cells_normalized,total_pieces_normalized,center_control_p1_normalized,center_control_p2_normalized,col_0_height_normalized,col_1_height_normalized,col_2_height_normalized,col_3_height_normalized,col_4_height_normalized,col_5_height_normalized,col_6_height_normalized,row_0_density_normalized,row_1_density_normalized,row_2_density_normalized,row_3_density_normalized,row_4_density_normalized,row_5_density_normalized
34,10,2,4,3,iterative,5,2337.0,1506.0,0.1382489204406738,"[[0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 2, 0, 0, 0], [0, 0, 0, 1, 0, 0, 0], [0, 0, 0, 1, 2, 0, 0], [0, 0, 0, 2, 1, 0, 0], [0, 2, 1, 1, 2, 0, 0]]",2025-12-16T02:25:34.509733,5,5,32,10,3,2,0,1,1,5,3,0,0,0,1,1,2,2,4,-0.2773207492174227,-0.1593080464662126,-0.25701634498600456,-0.5935714558960278,-0.6060276624454223,0.6013366684721312,-0.6013366684721311,0.8917643272344711,-0.2015581283688803,-0.7854101139774222,-0.3193365397505209,-0.711539428803705,0.4204928413574789,-0.02454769833234926,-0.8287279064934376,-0.7648955309922231,-0.6785707352685971,-0.2893388842410873,-0.6618629945823626,-0.3735404686399355,-0.8166811203183099,-0.4532777347536831
34,11,1,2,4,minimax_ab,7,24764.0,14756.0,1.1912479400634766,"[[0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 2, 0, 0, 0], [0, 0, 0, 1, 0, 0, 0], [0, 0, 0, 1, 2, 0, 0], [0, 0, 1, 2, 1, 0, 0], [0, 2, 1, 1, 2, 0, 0]]",2025-12-16T02:25:35.701011,6,5,31,11,3,2,0,1,2,5,3,0,0,0,1,1,2,3,4,-0.04101635524607627,1.8778234389785131,-0.10294967102841894,-0.39249187474558184,-0.6060276624454223,0.5007622315229912,-0.500762231522991,0.8917643272344711,-0.2015581283688803,-0.7854101139774222,-0.3193365397505209,-0.23411942496121907,0.4204928413574789,-0.02454769833234926,-0.8287279064934376,-0.7648955309922231,-0.6785707352685971,-0.2893388842410873,-0.6618629945823626,-0.3735404686399355,-0.32235138399865565,-0.4532777347536831
34,12,2,4,2,iterative,5,2917.0,1865.0,0.1830599308013916,"[[0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 2, 0, 0, 0], [0, 0, 0, 1, 2, 0, 0], [0, 0, 0, 1, 2, 0, 0], [0, 0, 1, 2, 1, 0, 0], [0, 2, 1, 1, 2, 0, 0]]",2025-12-16T02:25:35.884104,6,6,30,12,3,2,0,1,2,5,4,0,0,0,1,2,2,3,4,-0.27120951951646494,-0.10411331414359701,-0.25045994446302233,-0.39249187474558184,-0.40582678290815305,0.4001877945738511,-0.40018779457385095,0.8917643272344711,-0.2015581283688803,-0.7854101139774222,-0.3193365397505209,-0.23411942496121907,0.4204928413574789,0.432079405605985,-0.8287279064934376,-0.7648955309922231,-0.6785707352685971,-0.2893388842410873,-0.12883148046604945,-0.3735404686399355,-0.32235138399865565,-0.4532777347536831
34,13,1,2,3,minimax_ab,7,19363.0,10395.0,0.9275670051574708,"[[0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 2, 0, 0, 0], [0, 0, 0, 1, 2, 0, 0], [0, 0, 1, 1, 2, 0, 0], [0, 0, 1, 2, 1, 0, 0], [0, 2, 1, 1, 2, 0, 0]]",2025-12-16T02:25:36.811707,7,6,29,13,3,2,0,1,3,5,4,0,0,0,1,2,3,3,4,-0.09792454768551277,1.2073381251653472,-0.1415294264412465,-0.19141229359513595,-0.40582678290815305,0.29961335762471103,-0.29961335762471086,0.8917643272344711,-0.2015581283688803,-0.7854101139774222,-0.3193365397505209,0.24330057888126685,0.4204928413574789,0.432079405605985,-0.8287279064934376,-0.7648955309922231,-0.6785707352685971,-0.2893388842410873,-0.12883148046604945,0.14695928303373845,-0.32235138399865565,-0.4532777347536831
34,14,2,2,2,iterative,5,1.0,0.0,1.883506774902344e-05,"[[0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 2, 0, 0, 0], [0, 0, 2, 1, 2, 0, 0], [0, 0, 1, 1, 2, 0, 0], [0, 0, 1, 2, 1, 0, 0], [0, 2, 1, 1, 2, 0, 0]]",2025-12-16T02:25:36.811751,7,7,28,14,3,2,0,1,4,5,4,0,0,0,1,3,3,3,4,-0.301934253668177,-0.39084917983072254,-0.27724110217704956,-0.19141229359513595,-0.20562590337088388,0.199038920675571,-0.1990389206755708,0.8917643272344711,-0.2015581283688803,-0.7854101139774222,-0.3193365397505209,0.7207205827237527,0.4204928413574789,0.432079405605985,-0.8287279064934376,-0.7648955309922231,-0.6785707352685971,-0.2893388842410873,0.40420003365026375,0.14695928303373845,-0.32235138399865565,-0.4532777347536831
34,15,1,1,4,minimax_ab,7,15035.0,7935.0,0.7501339912414551,"[[0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 2, 0, 0, 0], [0, 0, 2, 1, 2, 0, 0], [0, 0, 1, 1, 2, 0, 0], [0, 1, 1, 2, 1, 0, 0], [0, 2, 1, 1, 2, 0, 0]]",2025-12-16T02:25:37.561907,8,7,27,15,3,2,0,2,4,5,4,0,0,0,1,3,3,4,4,-0.1435269651781773,0.829123524848817,-0.16749005298969555,0.009667287555309954,-0.20562590337088388,0.09846448372643093,-0.09846448372643075,0.8917643272344711,-0.2015581283688803,-0.7854101139774222,0.18911300997055894,0.7207205827237527,0.4204928413574789,0.432079405605985,-0.8287279064934376,-0.7648955309922231,-0.6785707352685971,-0.2893388842410873,0.40420003365026375,0.14695928303373845,0.1719783523209986,-0.4532777347536831
34,16,2,0,5,iterative,5,1.0,0.0,1.52587890625e-05,"[[0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 2, 0, 0, 0], [0, 0, 2, 1, 2, 0, 0], [0, 0, 1, 1, 2, 0, 0], [0, 1, 1, 2, 1, 0, 0], [2, 2, 1, 1, 2, 0, 0]]",2025-12-16T02:25:37.561984,8,8,26,16,3,2,1,2,4,5,4,0,0,0,1,3,3,4,5,-0.301934253668177,-0.39084917983072254,-0.27724162543049247,0.009667287555309954,-0.005425023833614719,-0.002109953222709127,0.0021099532227093058,0.8917643272344711,-0.2015581283688803,-0.2678357070706417,0.18911300997055894,0.7207205827237527,0.4204928413574789,0.432079405605985,-0.8287279064934376,-0.7648955309922231,-0.6785707352685971,-0.2893388842410873,0.40420003365026375,0.14695928303373845,0.1719783523209986,0.09170358795594749
34,17,1,4,1,minimax_ab,7,1.0,0.0,1.1205673217773438e-05,"[[0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 2, 1, 0, 0], [0, 0, 2, 1, 2, 0, 0], [0, 0, 1, 1, 2, 0, 0], [0, 1, 1, 2, 1, 0, 0], [2, 2, 1, 1, 2, 0, 0]]",2025-12-16T02:25:37.562028,9,8,25,17,3,2,1,2,4,5,5,0,0,0,2,3,3,4,5,-0.301934253668177,-0.39084917983072254,-0.27724221845106106,0.21074686870575585,-0.005425023833614719,-0.10268439017184919,0.10268439017184937,0.8917643272344711,-0.2015581283688803,-0.2678357070706417,0.18911300997055894,0.7207205827237527,0.4204928413574789,0.8887065095443193,-0.8287279064934376,-0.7648955309922231,-0.6785707352685971,0.291879172952598,0.40420003365026375,0.14695928303373845,0.1719783523209986,0.09170358795594749
35,1,1,4,5,iterative,3,110.0,80.0,0.007922887802124,"[[0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 1, 0, 0]]",2025-12-16T02:25:37.569979,1,0,41,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,-0.30078576394851425,-0.378549518031811,-0.2760846423011356,-1.3978897804978112,-1.607032060131768,1.5065066010143917,-1.5065066010143915,-2.139969373675588,-2.269562602395777,-0.7854101139774222,-0.8277860894716007,-1.188959432646191,-2.63763691396964,-0.9378019062090178,-0.8287279064934376,-0.7648955309922231,-0.6785707352685971,-0.8705569414347726,-1.1948945086986758,-1.4145399719872835,-1.8053405929576183,-2.0882217028825747
35,2,2,6,5,minimax_ab,3,138.0,52.0,0.0057671070098876,"[[0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 1, 0, 2]]",2025-12-16T02:25:37.575767,1,1,40,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2,-0.300490739066399,-0.38285439966143003,-0.2764000594765101,-1.3978897804978112,-1.4068311805944989,1.4059321640652518,-1.4059321640652516,-2.139969373675588,-2.269562602395777,-0.7854101139774222,-0.8277860894716007,-1.188959432646191,-2.63763691396964,-0.9378019062090178,-0.8287279064934376,-0.19557836283665822,-0.6785707352685971,-0.8705569414347726,-1.1948945086986758,-1.4145399719872835,-1.8053405929576183,-1.5432403801729442
