game_id,winner,total_moves,game_duration,player1_algorithm,player1_depth,player2_algorithm,player2_depth,timestamp,algorithm_matchup,depth_matchup,winner_type,moves_per_second,move_nodes_expanded_mean,move_nodes_expanded_sum,move_nodes_expanded_max,move_pruned_nodes_mean,move_pruned_nodes_sum,move_pruned_nodes_max,move_decision_time_mean,move_decision_time_sum,move_decision_time_max,move_column_mean,move_column_std,total_moves_normalized,game_duration_normalized,moves_per_second_normalized,move_nodes_expanded_mean_normalized,move_nodes_expanded_sum_normalized,move_nodes_expanded_max_normalized,move_pruned_nodes_mean_normalized,move_pruned_nodes_sum_normalized,move_pruned_nodes_max_normalized,move_decision_time_mean_normalized,move_decision_time_sum_normalized,move_decision_time_max_normalized,move_column_mean_normalized,move_column_std_normalized
21,1,31,5.620805025100708,minimax,5,minimax_ab,3,2025-12-16T02:09:14.116538,minimax_vs_minimax_ab,5_vs_3,player1,5.515224218161627,3790.8387096774195,117516.0,19608.0,17.64516129032258,547.0,86.0,0.1812951487879599,5.620149612426757,0.9105370044708252,3.161290322580645,1.8636304031566702,0.3126524139621056,-0.4944826968484941,-0.33802845629932826,-0.5077236785314473,-0.5138552633668044,-0.5363773610732225,-0.7942126185264252,-0.8091377386097454,-0.8906128199924731,-0.4984044092683614,-0.5069899601043135,-0.5299392412325734,0.5749087113458515,0.35706796057158385
22,1,27,429.1683280279275,minimax,7,minimax_ab,7,2025-12-16T02:16:39.841457,minimax_vs_minimax_ab,7_vs_7,player1,0.06291237781703923,168279.6197895517,4543549.734317896,459650.45571964927,8787.153831515761,237253.15345092557,25468.19224182093,12.384847382026848,334.3908793147249,42.95008794624037,2.925925925925926,1.7958483301969643,-0.14160490497835293,3.5967758906798406,-0.45966567358534466,2.4367221254983877,2.773007834422722,1.918256970458129,1.9465198601225835,1.8785317952896585,1.2263416079386051,2.6035072968224253,2.972519515133474,2.0161114890460006,-0.010629259377695951,0.07769827491234385
23,1,36,2.7190210819244385,iterative,5,minimax_ab,5,2025-12-16T02:16:42.560501,iterative_vs_minimax_ab,5_vs_5,player1,13.24005916663225,1340.4722222222222,48257.0,3307.0,763.3333333333334,27480.0,2263.0,0.07550199826558428,2.718071937561034,0.1966109275817871,3.388888888888889,1.9165113808730365,0.8804740626376787,-0.5225124876792919,-0.1656928572653689,-0.5515866780318159,-0.5652884120851992,-0.6273072104961719,-0.561162869798581,-0.5033281831707057,-0.7090441932285252,-0.5252950232271206,-0.5377037854400266,-0.5731769059722849,1.1411269013094858,0.5750214913046553
24,2,9,7.153246164321899,minimax,3,iterative,7,2025-12-16T02:16:49.713755,minimax_vs_iterative,3_vs_7,player2,1.258170038225319,13801.666666666666,124215.0,44069.0,8129.910249091215,73169.19224182093,25468.19224182093,0.7947827445136176,7.153044700622559,2.4241139888763428,2.4444444444444446,1.2360330811826106,-2.1857628402104163,-0.4796800770001458,-0.43300032134410726,-0.3285239776198811,-0.5088804490717016,-0.3999295942653725,1.741111678151053,0.015447726228175841,1.2263416079386051,-0.34246748874289834,-0.49076673065577825,-0.43827213965443507,-1.2084556664923654,-2.229628770652653
25,1,24,5.388450622558594,minimax,5,minimax_ab,5,2025-12-16T02:16:55.102215,minimax_vs_minimax_ab,5_vs_5,player1,4.4539704789211,4726.333333333333,113432.0,19608.0,403.6666666666667,9688.0,2227.0,0.22448990742365516,5.387757778167724,0.8995661735534668,2.9166666666666665,1.8395809226599662,-0.4822978941836968,-0.4967271249070289,-0.36170427592512555,-0.49097777524714636,-0.5168881252239771,-0.5363773610732225,-0.6735694083960757,-0.7053466590319686,-0.7120467061194311,-0.4874251202144014,-0.5094494539589045,-0.5306036701202081,-0.03366438259144025,0.2579459432997567
26,2,34,9.477027893066406,minimax,5,iterative,5,2025-12-16T02:17:04.579254,minimax_vs_iterative,5_vs_5,player2,3.5876226580355555,5401.029411764706,183635.0,19608.0,420.11764705882354,14284.0,2435.0,0.27870820550357595,9.476078987121582,0.9470536708831788,3.5294117647058822,1.8296430206156886,0.6533454031674494,-0.45723350031882276,-0.3810318824927759,-0.47890031911858544,-0.464753942814796,-0.5363773610732225,-0.6684279873698914,-0.653161580622663,-0.6946988538608637,-0.47364385634269424,-0.4661811484219377,-0.5277276741938272,1.4907187712592422,0.21698601910457027
27,1,37,18.53438425064087,iterative,7,iterative,5,2025-12-16T02:17:23.113645,iterative_vs_iterative,7_vs_5,player1,1.996289679745937,7409.7027027027025,274159.0,38495.0,4688.086276805971,173459.1922418209,25468.19224182093,0.5009022016783018,18.533381462097168,2.31483793258667,3.2432432432432434,2.005622726866277,0.9940383923727933,-0.36974393901643365,-0.4165333946811148,-0.4429438872918021,-0.3975289705428317,-0.43102234812608775,0.6654392429708942,1.1541860886453326,1.2263416079386051,-0.4171663533513747,-0.3703241668399428,-0.4448902499026549,0.7787906388662756,0.9423016235249058
28,1,24,236.71843791007996,minimax,7,iterative,3,2025-12-16T02:21:19.832105,minimax_vs_iterative,7_vs_3,player1,0.10138627228148851,136600.7199415936,3278417.278598246,459650.45571964927,34.958333333333336,839.0,111.0,9.801837848358034,235.2441083605928,42.95008794624037,3.75,1.6218615177038684,-0.4822978941836968,1.737805591358144,-0.45880734823678654,1.8696512096508975,1.8334946196275788,1.918256970458129,-0.788801736946728,-0.8058222375445763,-0.8885277415960107,1.9469552244177741,1.9232103832453813,2.0161114890460006,2.039496706645488,-0.6394034452422512
29,1,33,26.63044834136963,iterative,7,minimax_ab,7,2025-12-16T02:21:46.462562,iterative_vs_minimax_ab,7_vs_7,player1,1.2391830425451553,14738.757575757576,486379.0,57877.0,8742.88926341656,288515.3456927465,25468.19224182093,0.8069531700827859,26.629454612731934,3.0959219932556152,2.6666666666666665,1.898464291649086,0.5397810734323348,-0.2915399832913691,-0.4334239077762089,-0.3117494998886164,-0.2399300617942539,-0.32290613798464834,1.9326858650830723,2.4605860863193194,1.2263416079386051,-0.33937399720702527,-0.2846402518960542,-0.3975852811642944,-0.6556127093625187,0.5006388496501795
30,2,28,1.7140851020812988,minimax,3,iterative,5,2025-12-16T02:21:48.179973,minimax_vs_iterative,3_vs_5,player2,16.335244945540612,926.6785714285714,25947.0,3254.0,442.67857142857144,12395.0,1949.0,0.06118888514382494,1.7132887840270985,0.2783479690551758,2.607142857142857,1.52362350055011,-0.028040575243238303,-0.5322196698351465,-0.09664145372241416,-0.5589938274484191,-0.5818562739935056,-0.6276028538321278,-0.6613770269918657,-0.6746101474449385,-0.7352327778880933,-0.5289331453324253,-0.5483377993209047,-0.5682266472403972,-0.803695644308013,-1.0442999432934026
